reg,code,full_text,category,sub_cat,brand,sub_brand,company_name,business
5752833,96190000,"hug.maxdry(24) 4u60'x2 msd ex 1хайрцаг*2уут*60ш, размер:l , хүүхдийн",Baby Care,Diaper,Huggies,Huggies,MSM LLC,PG
2659018,96190000,"laurier for night 300 with wings 18pcs 4901301254511 далавчтай, шөнийн, 1хайрцаг*12боодол*18ш, хэмжээ: l*30см, хувийн хэрэглээний",Fem Care,Pads,Laurier,Laurier,Circle LLC,PG
6535062,96190000,"bb kitty baby diapers наадаг, xl хэмжээ, 12-17 кг жинтэй хүүхдэд зориулсан, парабен, латекс агуулаагүй, уутандаа 44-р савлагдсан, 123 хайрцаг*6 уут*44 ширхэг",Baby Care,Diaper,BB Kitty,BB Kitty,Asiapharma LLC,PG
7175281,96190000,"septona calm n care pants maxi no4 (7-13kg) 48pcs (*4) (8608) fsc mix (tuev-coc-000989)ot_x0002_exports 2230100048001 ууттай, хөвөн зөөлөн, өмсдөг, 1хайрцагт:4уут*48ш, хэмжээ:7-13кг, нярай хүүхдийн",Baby Care,Diaper,Septona,Septona,Nomin Cosmetics LLC,PG
5811651,96032100,"no brand family toothbrush 15p зөөлөн үстэй, 1хайрцаг*6 багц: 1багц: 15ш, арилжааны",Oral Care,Toothbrush,No Brand,No Brand,Sky hypermarket LLC,PG
6535062,96190000,"bb kitty baby pants өмсдөг, l хэмжээ, 9-14 кг жинтэй хүүхдэд зориулсан, парабен, латекс агуулаагүй, уутандаа 46-р савлагдсан, 134 хайрцаг*6 уут*46 ширхэг",Baby Care,Diaper,BB Kitty,BB Kitty,Asiapharma LLC,PG
7175281,96190000,"septona calm n care diapers maxi no4 (8-13kg) 26pcs (*4) (8604) fsc mix (tuev-coc-000989)ot-exports 2230100026001 ууттай, хөвөн зөөлөн, 1хайрцагт:4уут*26ш, хэмжээ:8-13кг, нярай хүүхдийн",Baby Care,Diaper,Septona,Septona,Nomin Cosmetics LLC,PG
6535062,96190000,"bb kitty baby pants өмсдөг, m хэмжээ, 6-11 кг жинтэй хүүхдэд зориулсан, парабен, латекс агуулаагүй, уутандаа 48-р савлагдсан, 84 хайрцаг*6 уут*48 ширхэг",Baby Care,Diaper,BB Kitty,BB Kitty,Asiapharma LLC,PG
5255937,96190000,"rascals-diapers-size 4 18pc count хөвөн зөөлөн материалтай, өнгө: цагаан, шингэнийг нэвтрүүлэхгүй, наадаг. 37 баглаа*8уут*18ш, хэмжээ:4, 10-15кг жинтэй хүүхдэд зориулагдсан",Baby Care,Diaper,Rascal & Friends,Rascal & Friends,Brickland LLC,PG
5255937,96190000,"9308-rascals- diapers size4 хөвөн зөөлөн материалтай, өнгө: цагаан, шингэнийг нэвтрүүлэхгүй, 1уут*8 боодол, 1 боодол*18ш, 10-15кг жинтэй хүүхдэд зориулагдсан",Baby Care,Diaper,Rascal & Friends,Rascal & Friends,Brickland LLC,PG
